文件名,离群值序号,diff,fp,rx
nlos1-7.8m.csv,198,0.16400022506713885,-84.0,-87.0
nlos1-7.8m.csv,250,0.1759998321533205,-83.5,-83.0
nlos2-0.8m.csv,97,0.06100000143051143,-82.5,-78.5
nlos2-1.6m.csv,61,0.03800001144409171,-83.0,-79.0
nlos2-1.8m.csv,24,0.05599994659423824,-83.0,-78.5
nlos2-1.8m.csv,76,0.2399999618530273,-81.0,-79.0
nlos2-1.8m.csv,82,0.002000045776367143,-82.5,-78.5
nlos2-2.0m.csv,11,0.13700008392333984,-83.0,-78.5
nlos2-2.8m.csv,8,-0.06300001144409162,-81.0,-79.0
nlos2-3.0m.csv,18,-0.002000093460083008,-82.5,-79.0
nlos2-3.0m.csv,51,0.07500004768371582,-80.0,-78.0
nlos2-3.2m.csv,44,0.09600000381469975,-81.0,-78.0
nlos2-3.2m.csv,99,0.001999902725219993,-81.0,-78.5
nlos2-3.4m.csv,13,0.0760000705718995,-81.0,-78.0
nlos2-3.4m.csv,14,0.08300004005432138,-81.0,-78.0
nlos2-3.4m.csv,19,-0.02499999999999991,-81.5,-78.5
nlos2-3.4m.csv,20,-0.05300011634826651,-81.5,-78.5
nlos2-3.4m.csv,21,-0.028999948501586825,-81.5,-79.0
nlos2-3.4m.csv,51,0.057000017166137784,-81.0,-78.0
nlos2-3.6m.csv,53,0.03800001144409171,-83.0,-79.0
nlos2-3.8m.csv,37,0.0659999370574953,-82.5,-79.0
nlos2-3.8m.csv,78,0.0659999370574953,-82.5,-79.5
nlos2-3.8m.csv,95,0.006999921798706232,-81.5,-79.5
nlos2-3.8m.csv,99,0.06299991607666033,-82.5,-79.0
nlos2-4.0m.csv,11,0.09000015258789062,-80.5,-78.0
nlos2-4.0m.csv,69,0.051000118255615234,-82.5,-79.0
nlos2-4.2m.csv,0,0.039999771118163885,-81.5,-80.0
nlos2-4.2m.csv,47,0.034000205993652166,-82.0,-80.0
nlos2-4.4m.csv,16,0.041999912261962535,-83.0,-79.0
nlos2-4.4m.csv,30,0.04000005722045863,-83.0,-79.0
nlos2-4.6m.csv,65,-0.05699977874755824,-81.0,-78.5
nlos2-4.8m.csv,78,-0.015000152587890447,-82.0,-79.0
nlos2-5.0m.csv,17,-0.004000186920166016,-83.0,-79.5
nlos2-5.0m.csv,18,0.059999942779541016,-83.0,-79.0
nlos2-5.2m.csv,62,0.0160000801086424,-82.5,-79.0
nlos2-5.4m.csv,14,-0.009000205993652699,-81.0,-79.5
nlos2-5.4m.csv,23,-0.024000072479248402,-82.0,-84.0
nlos2-5.4m.csv,58,0.09599981307983363,-82.5,-79.0
nlos2-5.6m.csv,54,0.05999984741210973,-83.0,-79.5
nlos2-5.8m.csv,11,-0.03199987411499006,-82.5,-79.5
